"X","광역시도","시군","pop","moon","hong","ahn","electionSum","electionRatio"
233,"경상남도","고성군",34603,9848,16797,4104,30749,88.862237378262
234,"경상남도","사천시",71555,22370,32475,8350,63195,88.3166794773251
235,"경상남도","김해시",318253,147972,82880,45126,275978,86.7165431276375
236,"경상남도","밀양시",70687,20842,32394,9073,62309,88.1477499398758
237,"경상남도","거제시",150230,68291,38775,20359,127425,84.8199427544432
238,"경상남도","의령군",19258,5115,10134,1984,17233,89.4848893966144
239,"경상남도","함안군",43866,13597,19809,5399,38805,88.4625906168787
240,"경상남도","창녕군",42878,10310,24464,3877,38651,90.1417976584729
241,"경상남도","양산시",199835,83412,58811,30945,173168,86.6554907798934
242,"경상남도","하동군",34324,11211,14864,4150,30225,88.0579186574991
243,"경상남도","남해군",30208,8680,14166,3906,26752,88.5593220338983
244,"경상남도","함양군",26640,7388,13008,3203,23599,88.5848348348348
245,"경상남도","산청군",24513,6561,12544,2753,21858,89.1690123607882
246,"경상남도","거창군",41325,11256,19976,4923,36155,87.4894131881428
247,"경상남도","합천군",33021,7143,19699,3077,29919,90.6059780139911
248,"제주특별자치도","제주시",273163,125717,48027,55971,229715,84.0944783883615
249,"제주특별자치도","서귀포시",101296,43776,20036,21890,85702,84.6055125572579
